id,Name,Address,Location,Postal_code,Starred
99,"Fort Tryon Park Mobile Food Truck","Margaret Corbin Circle","New York",NULL,FALSE
100,"CAF&Eacute; PRODUCTS CORP.","COLUMBUS CIR. BEHIND THE USS MAINE MONUMENT","New York",NULL,FALSE
101,"First Park Outdoor Cafe","Between East Houston Street and East First Street","New York",NULL,FALSE
102,"Prospect Park Mount Food Cart","Grand Army Plaza","New York",NULL,FALSE
103,"Alexander Hamilton Plygrd Mobile Food Truck","Alexander Hamilton Plygrd","New York",NULL,FALSE
104,"Peter Minuit Snack Bar",Pavilion,"New York",NULL,FALSE
105,"Williamsbridge Oval Park","South corner of track","New York",NULL,FALSE
106,"Cross Island Mobile Food Truck","Cross Island Parkway and Clearview Parkway","New York",NULL,FALSE
107,"ALEX LINDOWER PARK TRUCKS","East 60th and Strickland","New York",NULL,FALSE
108,"Battery Park Snack Bar","Battery Park","New York",NULL,FALSE
109,"Forest Park Mobile Food Truck","79 Street and Park Lane South","New York",NULL,FALSE
110,"THE NEW YORK PICNIC COMPANY, INC.","Hecksher Playground","New York",NULL,FALSE
111,"Rufus Playground Mobile Food Trucks","Rufus King Playground","New York",NULL,FALSE
112,"NANDITA, INC.","MALL AREA. S.W. OF BANDSHELL","New York",NULL,FALSE
113,"PS 173 Playground Mobile Food Truck","Fresh Meadows Playground","New York",NULL,FALSE
114,"THE NY PICNIC COMPANY","NORTH OF 72 ST. TRANVERSE, PATH LEADING TO CHERRY HILL","New York",NULL,FALSE
115,"Maurice A Fitzgerald Playground Mobile Food Truck","Maurice A Fitzgerald Playground","New York",NULL,FALSE
116,"JANANI FOOD SERVICES, INC.","EAST 72ND ST. PATH LEADING TO CONSERVATORY WATERS","New York",NULL,FALSE
117,"Gunn Park Mobile Food Truck","William T. Gunn Playground","New York",NULL,FALSE
118,"UNLIMITED NUTS, INC.","BOW BRIDGE, N.  PATH LEADING TO CHERRY HILL","New York",NULL,FALSE
